"Title:","'ge-22/0/4-Alamosa Zayo Fiber(1Gb) ETYX/123244//ZYO'"
"Vertical Label:","'bits per second'"
"Start Date:","2018-02-26 12:01:00"
"End Date:","2018-02-27 12:00:00"
"Step:","60"
"Total Rows:","1440"
"Graph ID:","2160"
"Host ID:","26"
""
"Date","In","Out"
"2018-02-27 09:15:00","3.9102580650e+07","2.9108590666e+08"
"2018-02-27 09:16:00","3.9909142258e+07","2.7158616314e+08"
"2018-02-27 09:17:00","3.9901086417e+07","2.7714864743e+08"
"2018-02-27 09:18:00","3.9821508938e+07","2.8547444347e+08"
"2018-02-27 09:19:00","4.2967330438e+07","3.1110521859e+08"
"2018-02-27 09:20:00","4.2310408592e+07","2.8807640259e+08"
"2018-02-27 09:21:00","4.6953679772e+07","2.7939510537e+08"
"2018-02-27 09:22:00","4.4425233153e+07","2.7670541290e+08"
"2018-02-27 09:23:00","3.9750414443e+07","2.7415509995e+08"
"2018-02-27 09:24:00","3.8406272884e+07","2.7774830729e+08"
"2018-02-27 09:25:00","4.0976278053e+07","3.0485508845e+08"
"2018-02-27 09:26:00","4.2556205142e+07","2.9289832526e+08"
"2018-02-27 09:27:00","4.1262624597e+07","2.9741599665e+08"
"2018-02-27 09:28:00","3.9686721690e+07","2.7036363957e+08"
"2018-02-27 09:29:00","4.3124994226e+07","3.0758591118e+08"
"2018-02-27 09:30:00","4.0188630440e+07","2.7114909335e+08"
"2018-02-27 09:31:00","3.8583259549e+07","2.7229792460e+08"
"2018-02-27 09:32:00","4.2137057436e+07","2.7466794749e+08"
"2018-02-27 09:33:00","4.3842932540e+07","2.8120102862e+08"
"2018-02-27 09:34:00","4.2787612207e+07","2.8539394776e+08"
"2018-02-27 09:35:00","3.8424237133e+07","2.6364001181e+08"
"2018-02-27 09:36:00","4.1368270127e+07","2.7921334636e+08"
"2018-02-27 09:37:00","4.2276441367e+07","2.7211922383e+08"
"2018-02-27 09:38:00","3.8832125109e+07","2.7297883474e+08"
"2018-02-27 09:39:00","3.9103413327e+07","2.7355157468e+08"
"2018-02-27 09:40:00","4.0751682149e+07","2.7962614872e+08"
"2018-02-27 09:41:00","3.9927741920e+07","2.5065561214e+08"
"2018-02-27 09:42:00","4.3245442566e+07","2.7887403353e+08"
"2018-02-27 09:43:00","4.5946601920e+07","2.9672784205e+08"
"2018-02-27 09:44:00","4.8273293077e+07","2.9573755140e+08"
"2018-02-27 09:45:00","4.5979226363e+07","2.8939226628e+08"
"2018-02-27 09:46:00","4.4684893607e+07","2.8111123418e+08"
"2018-02-27 09:47:00","4.1107659009e+07","2.9188004348e+08"
"2018-02-27 09:48:00","4.4619154318e+07","2.9272319131e+08"
"2018-02-27 09:49:00","4.2994840276e+07","2.8466250310e+08"
"2018-02-27 09:50:00","4.2602453402e+07","3.0754488288e+08"
"2018-02-27 09:51:00","4.5825840998e+07","3.1214455381e+08"
"2018-02-27 09:52:00","4.0649226907e+07","3.0988364915e+08"
"2018-02-27 09:53:00","4.0774388560e+07","2.9539279948e+08"
"2018-02-27 09:54:00","4.3592562173e+07","2.8468182522e+08"
"2018-02-27 09:55:00","4.8635940884e+07","2.6951719842e+08"
"2018-02-27 09:56:00","4.9107738293e+07","2.9406294417e+08"
"2018-02-27 09:57:00","4.6543697660e+07","2.7939019564e+08"
"2018-02-27 09:58:00","4.6156011289e+07","2.5751763027e+08"
"2018-02-27 09:59:00","4.0914494282e+07","2.5458754179e+08"
"2018-02-27 10:00:00","4.1449724624e+07","2.5376160288e+08"
"2018-02-27 10:01:00","4.3510643620e+07","2.9147317692e+08"
"2018-02-27 10:02:00","5.3224159830e+07","2.8365700172e+08"
"2018-02-27 10:03:00","4.5746646090e+07","2.7673330616e+08"
"2018-02-27 10:04:00","4.2652651253e+07","2.6683766013e+08"
"2018-02-27 10:05:00","4.3222689020e+07","2.7210281505e+08"
"2018-02-27 10:06:00","4.3418480051e+07","2.9179266965e+08"
"2018-02-27 10:07:00","4.8980670804e+07","2.7535494588e+08"
"2018-02-27 10:08:00","4.8218251750e+07","2.8122008679e+08"
"2018-02-27 10:09:00","4.3627886696e+07","2.7553248772e+08"
"2018-02-27 10:10:00","4.3915371207e+07","2.9260707714e+08"
"2018-02-27 10:11:00","4.8654210140e+07","3.1644223520e+08"
